     Orden	Frec.absoluta 	 Frec.normalizada 
 30928.	sobrevivieron	      245	     1.60
 30929.	subdirección	      245	     1.60
 30930.	superficialmente	      245	     1.60
 30931.	tapadera	      245	     1.60
 30932.	ted	      245	     1.60
 30933.	tomografía	      245	     1.60
 30934.	urdaneta	      245	     1.60
 30935.	yoly	      245	     1.60
 30936.	aburridas	      244	     1.59
 30937.	accidentada 	      244	     1.59
 30938.	agarrarse	      244	     1.59
 30939.	aglutinar	      244	     1.59
 30940.	alejaban	      244	     1.59
 30941.	alumbramiento 	      244	     1.59
 30942.	amoníaco 	      244	     1.59
 30943.	articulan	      244	     1.59
 30944.	asomando  	      244	     1.59
 30945.	atacaba 	      244	     1.59
 30946.	autosuficiente	      244	     1.59
 30947.	azota	      244	     1.59
 30948.	billie	      244	     1.59
 30949.	caldero	      244	     1.59
 30950.	calzadas 	      244	     1.59
 30951.	cártel	      244	     1.59
 30952.	centralizada	      244	     1.59
 30953.	chiriquí	      244	     1.59
 30954.	conjuntivitis	      244	     1.59
 30955.	consabido 	      244	     1.59
 30956.	consumirse 	      244	     1.59
 30957.	corregidor	      244	     1.59
 30958.	cosmovisión 	      244	     1.59
 30959.	cozumel 	      244	     1.59
 30960.	detector	      244	     1.59
 30961.	dialecto	      244	     1.59
 30962.	dibujada	      244	     1.59
 30963.	disminuidos 	      244	     1.59
 30964.	divorciada	      244	     1.59
 30965.	dormimos  	      244	     1.59
 30966.	enamoramiento  	      244	     1.59
 30967.	enuncia 	      244	     1.59
 30968.	enunciar	      244	     1.59
 30969.	erich	      244	     1.59
 30970.	escuchen 	      244	     1.59
 30971.	exentas 	      244	     1.59
 30972.	filmó	      244	     1.59
 30973.	filón	      244	     1.59
 30974.	flotas	      244	     1.59
 30975.	frankfurt	      244	     1.59
 30976.	geólogos 	      244	     1.59
 30977.	granollers	      244	     1.59
 30978.	gurú	      244	     1.59
 30979.	hidráulicos	      244	     1.59
 30980.	hipócrates	      244	     1.59
 30981.	ignoraban	      244	     1.59
 30982.	incongruente	      244	     1.59
 30983.	indisoluble	      244	     1.59
 30984.	ingles	      244	     1.59
 30985.	inigualable	      244	     1.59
 30986.	insoluble	      244	     1.59
 30987.	insomne 	      244	     1.59
 30988.	latigazos	      244	     1.59
 30989.	lutero	      244	     1.59
 30990.	malignas 	      244	     1.59
 30991.	maquetas  	      244	     1.59
 30992.	meollo	      244	     1.59
 30993.	miguelito	      244	     1.59
 30994.	necesitábamos  	      244	     1.59
 30995.	network 	      244	     1.59
 30996.	notorias	      244	     1.59
 30997.	ostracismo 	      244	     1.59
 30998.	ponty	      244	     1.59
 30999.	proporcionaron	      244	     1.59
 31000.	remojar	      244	     1.59
 31001.	repartían	      244	     1.59
 31002.	robespierre	      244	     1.59
 31003.	sobresaltó	      244	     1.59
 31004.	sureño 	      244	     1.59
 31005.	tam 	      244	     1.59
 31006.	terca	      244	     1.59
 31007.	toquen 	      244	     1.59
 31008.	traídas	      244	     1.59
 31009.	traspasa	      244	     1.59
 31010.	vanessa 	      244	     1.59
 31011.	vergonzante 	      244	     1.59
 31012.	viñedo	      244	     1.59
 31013.	volviese	      244	     1.59
 31014.	accionario	      243	     1.59
 31015.	acerquen 	      243	     1.59
 31016.	acompañarme   	      243	     1.59
 31017.	aduce 	      243	     1.59
 31018.	ahorrado	      243	     1.59
 31019.	alzaga	      243	     1.59
 31020.	anacarla	      243	     1.59
 31021.	andre	      243	     1.59
 31022.	aprovechados 	      243	     1.59
 31023.	arrastrándose	      243	     1.59
 31024.	arribaron	      243	     1.59
 31025.	asteroides	      243	     1.59
 31026.	atreves	      243	     1.59
 31027.	bajen	      243	     1.59
 31028.	banales 	      243	     1.59
 31029.	barciela	      243	     1.59
 31030.	brando 	      243	     1.59
 31031.	bup 	      243	     1.59
 31032.	buzos 	      243	     1.59
 31033.	carmelitas	      243	     1.59
 31034.	castellanas	      243	     1.59
 31035.	circunvalación	      243	     1.59
 31036.	congregaron 	      243	     1.59
 31037.	conveniencias 	      243	     1.59
 31038.	cordilleras	      243	     1.59
 31039.	costero	      243	     1.59
 31040.	debéis	      243	     1.59
 31041.	debutar	      243	     1.59
 31042.	deseara 	      243	     1.59
 31043.	destinaron	      243	     1.59
 31044.	desvanecido 	      243	     1.59
 31045.	diversificar	      243	     1.59
 31046.	enciso	      243	     1.59
 31047.	endurecer 	      243	     1.59
 31048.	escribirle	      243	     1.59
 31049.	estimulando 	      243	     1.59
 31050.	exultante	      243	     1.59
 31051.	facilitaba	      243	     1.59
 31052.	factibilidad	      243	     1.59
 31053.	felicidades	      243	     1.59
 31054.	frecuentaba	      243	     1.59
 31055.	frontales	      243	     1.59
 31056.	good 	      243	     1.59
 31057.	halagos 	      243	     1.59
 31058.	homogéneos  	      243	     1.59
 31059.	ínfimo	      243	     1.59
 31060.	innato	      243	     1.59
 31061.	insurgente	      243	     1.59
 31062.	magnéticas 	      243	     1.59
 31063.	maletero	      243	     1.59
 31064.	metalurgia	      243	     1.59
 31065.	miento 	      243	     1.59
 31066.	militarismo	      243	     1.59
 31067.	miño 	      243	     1.59
 31068.	muller	      243	     1.59
 31069.	multiplicó	      243	     1.59
 31070.	organizaban 	      243	     1.59
 31071.	pego 	      243	     1.59
 31072.	pichincha	      243	     1.59
 31073.	polígonos	      243	     1.59
 31074.	proteico	      243	     1.59
 31075.	puntilla	      243	     1.59
 31076.	reality	      243	     1.59
 31077.	recurrirá	      243	     1.59
 31078.	redondear 	      243	     1.59
 31079.	represa	      243	     1.59
 31080.	resumía 	      243	     1.59
 31081.	sarasola	      243	     1.59
 31082.	secamente  	      243	     1.59
 31083.	señale	      243	     1.59
 31084.	sentís	      243	     1.59
 31085.	sigfrido	      243	     1.59
 31086.	sugerentes 	      243	     1.59
 31087.	tiemblan	      243	     1.59
 31088.	tiranos	      243	     1.59
 31089.	turquesa	      243	     1.59
 31090.	yrigoyen	      243	     1.59
 31091.	aflicción	      242	     1.58
 31092.	anuario	      242	     1.58
 31093.	aquejan 	      242	     1.58
 31094.	atascos 	      242	     1.58
 31095.	ballets	      242	     1.58
 31096.	batman 	      242	     1.58
 31097.	biográfico	      242	     1.58
 31098.	blanquiazul	      242	     1.58
 31099.	carioca	      242	     1.58
 31100.	casaca 	      242	     1.58
 31101.	cerámico 	      242	     1.58
 31102.	chueca 	      242	     1.58
 31103.	cogote 	      242	     1.58
 31104.	comparativos 	      242	     1.58
 31105.	confitería	      242	     1.58
 31106.	conquistada 	      242	     1.58
 31107.	conteste	      242	     1.58
 31108.	criticaba	      242	     1.58
 31109.	cuca 	      242	     1.58
 31110.	dagomar 	      242	     1.58
 31111.	decoraciones 	      242	     1.58
 31112.	delata	      242	     1.58
 31113.	derredor	      242	     1.58
 31114.	desapercibida	      242	     1.58
 31115.	despiste	      242	     1.58
 31116.	dilación	      242	     1.58
 31117.	divisar	      242	     1.58
 31118.	dupla	      242	     1.58
 31119.	encontraran	      242	     1.58
 31120.	enersis	      242	     1.58
 31121.	entretenía	      242	     1.58
 31122.	estarse	      242	     1.58
 31123.	estimaron 	      242	     1.58
 31124.	evaluó	      242	     1.58
 31125.	excluidas	      242	     1.58
 31126.	exponencial 	      242	     1.58
 31127.	exquisitas	      242	     1.58
 31128.	extremar 	      242	     1.58
 31129.	fas	      242	     1.58
 31130.	ferré	      242	     1.58
 31131.	fiasco	      242	     1.58
 31132.	genealogía	      242	     1.58
 31133.	gozoso 	      242	     1.58
 31134.	gregory	      242	     1.58
 31135.	hallará	      242	     1.58
 31136.	hojalata	      242	     1.58
 31137.	ico	      242	     1.58
 31138.	incursionar	      242	     1.58
 31139.	ininterrumpidamente 	      242	     1.58
 31140.	intervencionista	      242	     1.58
 31141.	intra	      242	     1.58
 31142.	invoca	      242	     1.58
 31143.	jarama 	      242	     1.58
 31144.	lavada	      242	     1.58
 31145.	levantados	      242	     1.58
 31146.	matarse 	      242	     1.58
 31147.	mechón  	      242	     1.58
 31148.	meteorológicos 	      242	     1.58
 31149.	metódica 	      242	     1.58
 31150.	microcosmos  	      242	     1.58
 31151.	mitológico	      242	     1.58
 31152.	montjuïc	      242	     1.58
 31153.	morbosa 	      242	     1.58
 31154.	nominado 	      242	     1.58
 31155.	olímpicas	      242	     1.58
 31156.	operadoras 	      242	     1.58
 31157.	pagano 	      242	     1.58
 31158.	pagas 	      242	     1.58
 31159.	parangón 	      242	     1.58
 31160.	peñalosa 	      242	     1.58
 31161.	pesaban 	      242	     1.58
 31162.	plasmación 	      242	     1.58
 31163.	populistas	      242	     1.58
 31164.	preferiblemente	      242	     1.58
 31165.	primicia	      242	     1.58
 31166.	psp 	      242	     1.58
 31167.	receptora	      242	     1.58
 31168.	redactada 	      242	     1.58
 31169.	reservaba	      242	     1.58
 31170.	riña	      242	     1.58
 31171.	sarcástico	      242	     1.58
 31172.	segmentación  	      242	     1.58
 31173.	sera	      242	     1.58
 31174.	somática 	      242	     1.58
 31175.	sorolla	      242	     1.58
 31176.	square 	      242	     1.58
 31177.	suscribe	      242	     1.58
 31178.	tándem 	      242	     1.58
 31179.	telarañas	      242	     1.58
 31180.	tendiente	      242	     1.58
 31181.	tenedores 	      242	     1.58
 31182.	tenerlas	      242	     1.58
 31183.	tenores	      242	     1.58
 31184.	tópica	      242	     1.58
 31185.	tufo	      242	     1.58
 31186.	vieras	      242	     1.58
 31187.	voladores	      242	     1.58
 31188.	volverás	      242	     1.58
 31189.	zorros	      242	     1.58
 31190.	activan	      241	     1.57
 31191.	aguafuerte	      241	     1.57
 31192.	ajuar	      241	     1.57
 31193.	alcaide	      241	     1.57
 31194.	analizaremos 	      241	     1.57
 31195.	añejo	      241	     1.57
 31196.	apodado 	      241	     1.57
 31197.	atreva	      241	     1.57
 31198.	avestruz	      241	     1.57
 31199.	azotes 	      241	     1.57
 31200.	bolocco 	      241	     1.57
 31201.	bonnie	      241	     1.57
 31202.	bucear 	      241	     1.57
 31203.	burns	      241	     1.57
 31204.	cambón  	      241	     1.57
 31205.	camerino 	      241	     1.57
 31206.	carreter	      241	     1.57
 31207.	conservarse 	      241	     1.57
 31208.	contamina 	      241	     1.57
 31209.	contárselo	      241	     1.57
 31210.	contribuía	      241	     1.57
 31211.	cortometrajes	      241	     1.57
 31212.	cosechado  	      241	     1.57
 31213.	d'estaing	      241	     1.57
 31214.	descarado 	      241	     1.57
 31215.	desconocían 	      241	     1.57
 31216.	distrae	      241	     1.57
 31217.	enfermeros 	      241	     1.57
 31218.	enfurecido	      241	     1.57
 31219.	entusiasmó 	      241	     1.57
 31220.	estampado  	      241	     1.57
 31221.	galarza	      241	     1.57
 31222.	garnica	      241	     1.57
 31223.	garriga	      241	     1.57
 31224.	hachuel 	      241	     1.57
 31225.	hereje	      241	     1.57
 31226.	hombría 	      241	     1.57
 31227.	hoteleras	      241	     1.57
 31228.	humanitarios	      241	     1.57
 31229.	ignorados	      241	     1.57
 31230.	inconclusa	      241	     1.57
 31231.	instrumentar	      241	     1.57
 31232.	legiones	      241	     1.57
 31233.	lloré	      241	     1.57
 31234.	mediado 	      241	     1.57
 31235.	migajas 	      241	     1.57
 31236.	migraña 	      241	     1.57
 31237.	muster 	      241	     1.57
 31238.	nadadores 	      241	     1.57
 31239.	nostálgicos	      241	     1.57
 31240.	novo	      241	     1.57
 31241.	operaban 	      241	     1.57
 31242.	organizativos	      241	     1.57
 31243.	ostentar	      241	     1.57
 31244.	pastoreo	      241	     1.57
 31245.	perturba	      241	     1.57
 31246.	portar	      241	     1.57
 31247.	portuguesas 	      241	     1.57
 31248.	posibilitan	      241	     1.57
 31249.	predicadores	      241	     1.57
 31250.	quirúrgicamente	      241	     1.57
 31251.	rebanada 	      241	     1.57
 31252.	recovecos 	      241	     1.57
 31253.	relajo	      241	     1.57
 31254.	respiraciones	      241	     1.57
 31255.	rezago 	      241	     1.57
 31256.	rothschild	      241	     1.57
 31257.	rotterdam	      241	     1.57
 31258.	sabias	      241	     1.57
 31259.	sigma 	      241	     1.57
 31260.	silbato	      241	     1.57
 31261.	sistemáticas	      241	     1.57
 31262.	soltaron	      241	     1.57
 31263.	superestructura	      241	     1.57
 31264.	talismán	      241	     1.57
 31265.	thomson 	      241	     1.57
 31266.	transformador	      241	     1.57
 31267.	transfusiones	      241	     1.57
 31268.	turbinas	      241	     1.57
 31269.	vacacional	      241	     1.57
 31270.	ventajosa	      241	     1.57
 31271.	aclaran	      240	     1.57
 31272.	agradar	      240	     1.57
 31273.	alhajas	      240	     1.57
 31274.	ambivalente	      240	     1.57
 31275.	amortizaciones 	      240	     1.57
 31276.	anteanoche 	      240	     1.57
 31277.	arbitrariedades	      240	     1.57
 31278.	arsenales	      240	     1.57
 31279.	artísticamente	      240	     1.57
 31280.	aulaga	      240	     1.57
 31281.	auspicio	      240	     1.57
 31282.	belfast	      240	     1.57
 31283.	berti	      240	     1.57
 31284.	brillos	      240	     1.57
 31285.	bulls	      240	     1.57
 31286.	caolín	      240	     1.57
 31287.	ci	      240	     1.57
 31288.	cianuro	      240	     1.57
 31289.	clarividencia	      240	     1.57
 31290.	completaron 	      240	     1.57
 31291.	concuerdan 	      240	     1.57
 31292.	corremos 	      240	     1.57
 31293.	creerá	      240	     1.57
 31294.	desplazada 	      240	     1.57
 31295.	diametralmente 	      240	     1.57
 31296.	discriminatorio	      240	     1.57
 31297.	eibar	      240	     1.57
 31298.	emular 	      240	     1.57
 31299.	enfrentaban	      240	     1.57
 31300.	escribían	      240	     1.57
 31301.	establishment 	      240	     1.57
 31302.	explicamos 	      240	     1.57
 31303.	extraviada	      240	     1.57
 31304.	fenicios	      240	     1.57
 31305.	fundan	      240	     1.57
 31306.	gloriosos	      240	     1.57
 31307.	hágase 	      240	     1.57
 31308.	halago	      240	     1.57
 31309.	impalpable	      240	     1.57
 31310.	impecables 	      240	     1.57
 31311.	incisión	      240	     1.57
 31312.	intrusos	      240	     1.57
 31313.	koch 	      240	     1.57
 31314.	levantará	      240	     1.57
 31315.	macroeconómica   	      240	     1.57
 31316.	manufacturera 	      240	     1.57
 31317.	mel 	      240	     1.57
 31318.	metes 	      240	     1.57
 31319.	migrantes 	      240	     1.57
 31320.	montante 	      240	     1.57
 31321.	movidas 	      240	     1.57
 31322.	noria	      240	     1.57
 31323.	odiosa	      240	     1.57
 31324.	packard 	      240	     1.57
 31325.	pasearse 	      240	     1.57
 31326.	perplejos	      240	     1.57
 31327.	poveda 	      240	     1.57
 31328.	prellezo	      240	     1.57
 31329.	pretendientes	      240	     1.57
 31330.	quietas	      240	     1.57
 31331.	regularizar	      240	     1.57
 31332.	renovó	      240	     1.57
 31333.	restaurada	      240	     1.57
 31334.	rimplo	      240	     1.57
 31335.	rudimentaria	      240	     1.57
 31336.	sagunto 	      240	     1.57
 31337.	sandinismo 	      240	     1.57
 31338.	sevillanas	      240	     1.57
 31339.	stevenson 	      240	     1.57
 31340.	succión 	      240	     1.57
 31341.	sueltan	      240	     1.57
 31342.	torcida	      240	     1.57
 31343.	veréis	      240	     1.57
 31344.	viviría	      240	     1.57
 31345.	windsor	      240	     1.57
 31346.	zubiri	      240	     1.57
 31347.	abandonarla 	      239	     1.56
 31348.	adivinó	      239	     1.56
 31349.	amargamente  	      239	     1.56
 31350.	anhídrido	      239	     1.56
 31351.	antagonista	      239	     1.56
 31352.	apetencias 	      239	     1.56
 31353.	arrastraban	      239	     1.56
 31354.	asustaba 	      239	     1.56
 31355.	barajan	      239	     1.56
 31356.	bronco 	      239	     1.56
 31357.	caquetá 	      239	     1.56
 31358.	celebramos 	      239	     1.56
 31359.	clorofila	      239	     1.56
 31360.	combativo 	      239	     1.56
 31361.	concluyendo 	      239	     1.56
 31362.	concretan 	      239	     1.56
 31363.	correrías	      239	     1.56
 31364.	cuajar	      239	     1.56
 31365.	dañinos 	      239	     1.56
 31366.	desbandada  	      239	     1.56
 31367.	desperdiciar	      239	     1.56
 31368.	detenían	      239	     1.56
 31369.	diagnosticado	      239	     1.56
 31370.	diagramas 	      239	     1.56
 31371.	dopamina 	      239	     1.56
 31372.	embrionario	      239	     1.56
 31373.	encefalopatía	      239	     1.56
 31374.	encomiendas  	      239	     1.56
 31375.	enmarcan  	      239	     1.56
 31376.	enrojecidos	      239	     1.56
 31377.	entusiasma 	      239	     1.56
 31378.	escribirlo	      239	     1.56
 31379.	esotérico	      239	     1.56
 31380.	exigible	      239	     1.56
 31381.	fomentando 	      239	     1.56
 31382.	gacel	      239	     1.56
 31383.	hablándole	      239	     1.56
 31384.	hartmann 	      239	     1.56
 31385.	hereda 	      239	     1.56
 31386.	horroroso	      239	     1.56
 31387.	iberoamericanas 	      239	     1.56
 31388.	ídem 	      239	     1.56
 31389.	imputa 	      239	     1.56
 31390.	incumplimientos 	      239	     1.56
 31391.	inexpugnable 	      239	     1.56
 31392.	ingiere	      239	     1.56
 31393.	intencionada	      239	     1.56
 31394.	irreverente	      239	     1.56
 31395.	jonet	      239	     1.56
 31396.	juntarse	      239	     1.56
 31397.	lavaba	      239	     1.56
 31398.	lavó	      239	     1.56
 31399.	legionario	      239	     1.56
 31400.	leningrado	      239	     1.56
 31401.	matizaciones 	      239	     1.56
 31402.	matriculación	      239	     1.56
 31403.	more 	      239	     1.56
 31404.	mu 	      239	     1.56
 31405.	muñiz 	      239	     1.56
 31406.	murciano 	      239	     1.56
 31407.	náufragos	      239	     1.56
 31408.	nipona	      239	     1.56
 31409.	occipital	      239	     1.56
 31410.	ocultamiento	      239	     1.56
 31411.	pálidas	      239	     1.56
 31412.	perfumada 	      239	     1.56
 31413.	perpleja	      239	     1.56
 31414.	plazuela	      239	     1.56
 31415.	presumía 	      239	     1.56
 31416.	prevalecen	      239	     1.56
 31417.	próceres	      239	     1.56
 31418.	prontamente 	      239	     1.56
 31419.	propinó	      239	     1.56
 31420.	protestando	      239	     1.56
 31421.	pulir	      239	     1.56
 31422.	quemarse  	      239	     1.56
 31423.	ramallo	      239	     1.56
 31424.	recostada 	      239	     1.56
 31425.	reinaldo	      239	     1.56
 31426.	resumido 	      239	     1.56
 31427.	rocoso 	      239	     1.56
 31428.	sinagoga 	      239	     1.56
 31429.	situando	      239	     1.56
 31430.	tenerle	      239	     1.56
 31431.	titulo	      239	     1.56
 31432.	tormentoso 	      239	     1.56
 31433.	udc 	      239	     1.56
 31434.	vic	      239	     1.56
 31435.	abnegación 	      238	     1.56
 31436.	abultada	      238	     1.56
 31437.	act	      238	     1.56
 31438.	adujo	      238	     1.56
 31439.	agarraba	      238	     1.56
 31440.	anormalidades 	      238	     1.56
 31441.	aparatoso 	      238	     1.56
 31442.	aparenta	      238	     1.56
 31443.	aristotélica	      238	     1.56
 31444.	aseveraciones 	      238	     1.56
 31445.	bajón	      238	     1.56
 31446.	bidasoa 	      238	     1.56
 31447.	bloqueada 	      238	     1.56
 31448.	camposanto  	      238	     1.56
 31449.	canoas 	      238	     1.56
 31450.	captada 	      238	     1.56
 31451.	carburantes	      238	     1.56
 31452.	carmelita	      238	     1.56
 31453.	cedieron	      238	     1.56
 31454.	corrosión	      238	     1.56
 31455.	cuadradas 	      238	     1.56
 31456.	cuadrilátero	      238	     1.56
 31457.	defectuosa 	      238	     1.56
 31458.	desembocan  	      238	     1.56
 31459.	destituir	      238	     1.56
 31460.	detallan	      238	     1.56
 31461.	domiciliaria	      238	     1.56
 31462.	emanaba  	      238	     1.56
 31463.	entendería	      238	     1.56
 31464.	equivaldría	      238	     1.56
 31465.	eufemismo  	      238	     1.56
 31466.	explicarles	      238	     1.56
 31467.	ezkerra	      238	     1.56
 31468.	farola	      238	     1.56
 31469.	gaseoso 	      238	     1.56
 31470.	gauss 	      238	     1.56
 31471.	gustará	      238	     1.56
 31472.	harapos 	      238	     1.56
 31473.	imitan	      238	     1.56
 31474.	improperios	      238	     1.56
 31475.	insensibilidad	      238	     1.56
 31476.	latía	      238	     1.56
 31477.	limítrofe	      238	     1.56
 31478.	locus	      238	     1.56
 31479.	marlon 	      238	     1.56
 31480.	mear 	      238	     1.56
 31481.	mencionarse 	      238	     1.56
 31482.	morboso 	      238	     1.56
 31483.	mordido 	      238	     1.56
 31484.	norteña	      238	     1.56
 31485.	notarse	      238	     1.56
 31486.	opium 	      238	     1.56
 31487.	peleado 	      238	     1.56
 31488.	pensionados 	      238	     1.56
 31489.	pertenezca 	      238	     1.56
 31490.	planeaba 	      238	     1.56
 31491.	planeando 	      238	     1.56
 31492.	postrado	      238	     1.56
 31493.	puzzle	      238	     1.56
 31494.	quebranto 	      238	     1.56
 31495.	quedes 	      238	     1.56
 31496.	remolinos	      238	     1.56
 31497.	retorcido	      238	     1.56
 31498.	scheler	      238	     1.56
 31499.	scorsese 	      238	     1.56
 31500.	semblanza  	      238	     1.56
 31501.	soportable	      238	     1.56
 31502.	sufran	      238	     1.56
 31503.	sugiero	      238	     1.56
 31504.	topó	      238	     1.56
 31505.	transferidos	      238	     1.56
 31506.	abarcando 	      237	     1.55
 31507.	adheridos	      237	     1.55
 31508.	afirmo	      237	     1.55
 31509.	aguardó 	      237	     1.55
 31510.	anarquismo 	      237	     1.55
 31511.	arista	      237	     1.55
 31512.	barbados 	      237	     1.55
 31513.	bioquímico	      237	     1.55
 31514.	buceador 	      237	     1.55
 31515.	carburos	      237	     1.55
 31516.	catastrófica	      237	     1.55
 31517.	cavar	      237	     1.55
 31518.	cobrarán	      237	     1.55
 31519.	colador	      237	     1.55
 31520.	confundían	      237	     1.55
 31521.	contestan 	      237	     1.55
 31522.	contradicen	      237	     1.55
 31523.	contrarreforma	      237	     1.55
 31524.	crispado	      237	     1.55
 31525.	defectuoso 	      237	     1.55
 31526.	despreciado 	      237	     1.55
 31527.	destapó 	      237	     1.55
 31528.	diáfana	      237	     1.55
 31529.	discursivo	      237	     1.55
 31530.	disímiles	      237	     1.55
 31531.	electromagnéticas 	      237	     1.55
 31532.	emeterio	      237	     1.55
 31533.	encajado 	      237	     1.55
 31534.	enfermar	      237	     1.55
 31535.	estaca 	      237	     1.55
 31536.	flautista	      237	     1.55
 31537.	furtivo	      237	     1.55
 31538.	generalizaciones	      237	     1.55
 31539.	guapos 	      237	     1.55
 31540.	haitiana	      237	     1.55
 31541.	heberto	      237	     1.55
 31542.	heredados 	      237	     1.55
 31543.	horrendo	      237	     1.55
 31544.	ilustradas	      237	     1.55
 31545.	incorporen	      237	     1.55
 31546.	instruir	      237	     1.55
 31547.	irrumpieron	      237	     1.55
 31548.	limosnas 	      237	     1.55
 31549.	louise	      237	     1.55
 31550.	maloliente	      237	     1.55
 31551.	marqueses  	      237	     1.55
 31552.	mirón	      237	     1.55
 31553.	motel	      237	     1.55
 31554.	motivadas 	      237	     1.55
 31555.	multiplicando	      237	     1.55
 31556.	odón 	      237	     1.55
 31557.	onetti	      237	     1.55
 31558.	opereta	      237	     1.55
 31559.	pedal	      237	     1.55
 31560.	pegue 	      237	     1.55
 31561.	presidiarios	      237	     1.55
 31562.	pronuncian 	      237	     1.55
 31563.	recitando	      237	     1.55
 31564.	recobra	      237	     1.55
 31565.	relaja	      237	     1.55
 31566.	renovados 	      237	     1.55
 31567.	sanchis 	      237	     1.55
 31568.	simpleza 	      237	     1.55
 31569.	sombrilla	      237	     1.55
 31570.	steffi	      237	     1.55
 31571.	stevia	      237	     1.55
 31572.	súbdito	      237	     1.55
 31573.	sunday 	      237	     1.55
 31574.	templadas 	      237	     1.55
 31575.	tranquilizantes	      237	     1.55
 31576.	umbrosa 	      237	     1.55
 31577.	urbanísticos	      237	     1.55
 31578.	verlaine	      237	     1.55
 31579.	yergue 	      237	     1.55
 31580.	accidentales	      236	     1.54
 31581.	agropecuarias 	      236	     1.54
 31582.	alargamiento	      236	     1.54
 31583.	altruista	      236	     1.54
 31584.	asiduos 	      236	     1.54
 31585.	atormentada 	      236	     1.54
 31586.	auschwitz 	      236	     1.54
 31587.	bajara	      236	     1.54
 31588.	beijing	      236	     1.54
 31589.	bilbaíno	      236	     1.54
 31590.	bizantino	      236	     1.54
 31591.	bofill	      236	     1.54
 31592.	boquete 	      236	     1.54
 31593.	borradores	      236	     1.54
 31594.	cabían	      236	     1.54
 31595.	cambiarán 	      236	     1.54
 31596.	centrífuga	      236	     1.54
 31597.	chalecos 	      236	     1.54
 31598.	cólicos	      236	     1.54
 31599.	compensada  	      236	     1.54
 31600.	continúo	      236	     1.54
 31601.	correlato	      236	     1.54
 31602.	costeros	      236	     1.54
 31603.	cuadrangulares 	      236	     1.54
 31604.	decálogo 	      236	     1.54
 31605.	denunciantes 	      236	     1.54
 31606.	descargó 	      236	     1.54
 31607.	despreocupación 	      236	     1.54
 31608.	electric	      236	     1.54
 31609.	elegimos 	      236	     1.54
 31610.	embestidas 	      236	     1.54
 31611.	encargue 	      236	     1.54
 31612.	estirado	      236	     1.54
 31613.	fabricó	      236	     1.54
 31614.	fechorías	      236	     1.54
 31615.	frou	      236	     1.54
 31616.	fumero 	      236	     1.54
 31617.	furtivos	      236	     1.54
 31618.	gingrich	      236	     1.54
 31619.	guagua 	      236	     1.54
 31620.	gutenberg 	      236	     1.54
 31621.	habrías	      236	     1.54
 31622.	húngaros 	      236	     1.54
 31623.	iluminando	      236	     1.54
 31624.	imaginería	      236	     1.54
 31625.	imperioso	      236	     1.54
 31626.	impulsores 	      236	     1.54
 31627.	incluirán	      236	     1.54
 31628.	infeccioso	      236	     1.54
 31629.	ininteligible	      236	     1.54
 31630.	internarse	      236	     1.54
 31631.	irving	      236	     1.54
 31632.	lavando	      236	     1.54
 31633.	malentendidos 	      236	     1.54
 31634.	marciales	      236	     1.54
 31635.	narran	      236	     1.54
 31636.	neoclásica	      236	     1.54
 31637.	neumático 	      236	     1.54
 31638.	nódulos 	      236	     1.54
 31639.	parla	      236	     1.54
 31640.	pigmento 	      236	     1.54
 31641.	privilegiar	      236	     1.54
 31642.	proporcionales	      236	     1.54
 31643.	prospera	      236	     1.54
 31644.	putrefacción	      236	     1.54
 31645.	rajatabla	      236	     1.54
 31646.	ramitas	      236	     1.54
 31647.	reafirmación	      236	     1.54
 31648.	rebasado 	      236	     1.54
 31649.	recoletos	      236	     1.54
 31650.	relojería	      236	     1.54
 31651.	resentimientos	      236	     1.54
 31652.	rh	      236	     1.54
 31653.	sacudiendo 	      236	     1.54
 31654.	schuster	      236	     1.54
 31655.	selecta	      236	     1.54
 31656.	separaciones 	      236	     1.54
 31657.	sirvientas	      236	     1.54
 31658.	sociabilidad	      236	     1.54
 31659.	sorgo	      236	     1.54
 31660.	subalterno	      236	     1.54
 31661.	sucesiones 	      236	     1.54
 31662.	tenidas	      236	     1.54
 31663.	timothy	      236	     1.54
 31664.	tr	      236	     1.54
 31665.	trimestral	      236	     1.54
 31666.	ubicaron	      236	     1.54
 31667.	ultraderecha	      236	     1.54
 31668.	valeroso	      236	     1.54
 31669.	zabaleta	      236	     1.54
 31670.	adaptativa	      235	     1.54
 31671.	aglutina	      235	     1.54
 31672.	alinear	      235	     1.54
 31673.	amazonia 	      235	     1.54
 31674.	animadversión 	      235	     1.54
 31675.	aplazada 	      235	     1.54
 31676.	aprendimos 	      235	     1.54
 31677.	aramburu 	      235	     1.54
 31678.	arquitecturas	      235	     1.54
 31679.	atardeceres	      235	     1.54
 31680.	australopithecus	      235	     1.54
 31681.	autodidacta	      235	     1.54
 31682.	autorizaba	      235	     1.54
 31683.	bebieron	      235	     1.54
 31684.	bloom 	      235	     1.54
 31685.	bósforo	      235	     1.54
 31686.	break	      235	     1.54
 31687.	calviño	      235	     1.54
 31688.	carey	      235	     1.54
 31689.	catia	      235	     1.54
 31690.	censor 	      235	     1.54
 31691.	coman  	      235	     1.54
 31692.	comunicador 	      235	     1.54
 31693.	contrincantes	      235	     1.54
 31694.	convertirán	      235	     1.54
 31695.	créeme 	      235	     1.54
 31696.	csd 	      235	     1.54
